model,accuracy,precision,recall,f1,auc
CNN,0.8165023333333333,0.7371845,0.876487,0.7919698333333334,0.9181053333333334
ResNet-type CNN,0.7114413333333333,0.6110906666666667,0.7581878333333334,0.6561436666666667,0.8455823333333333
Logistic Regression,0.5077116666666667,0.46719266666666665,0.7499638333333333,0.5216951666666666,0.7161151666666666
MLP 1-layer,0.49762066666666666,0.46329133333333333,0.8204305,0.5576358333333333,0.7270455
MLP 2-layer,0.5510563333333334,0.4961825,0.7910296666666666,0.5804646666666667,0.7791376666666666
Block-sparse MLP,0.5143681666666667,0.5040903333333333,0.8439271666666667,0.5793108333333333,0.7894410000000001
LSTM,0.49246016666666664,0.5531808333333333,0.6873386666666667,0.4615998333333333,0.6886571666666667
FT-Transformer,0.4850931666666667,0.5004668333333333,0.7582998333333334,0.51383,0.7938226666666667
