commodity,accuracy,precision,recall,f1,auc
DGASNYH,0.8753,0.7964,0.7472,0.7710,0.9362
DHHNGSP,0.9189,0.9257,0.8220,0.8708,0.9655
DDFUELUSGULF,0.7392,0.6550,0.9959,0.7903,0.9370
DRGASLA,0.8314,0.7572,0.8859,0.8165,0.9096
DJFUELUSGULF,0.7980,0.6221,0.9320,0.7461,0.9176
DCOILBRENTEU,0.7362,0.6667,0.8759,0.7571,0.8427

