model,accuracy,precision,recall,f1,auc
CNN,0.07338995857109246,0.11351662415479062,0.08616436719665499,0.04597907158443572,0.041710467188305
ResNet-type CNN,0.09808922979546059,0.1879101843612173,0.21649021960949336,0.1507789930920971,0.13119544294626492
Logistic Regression,0.1430296569452177,0.13828057312965789,0.27416607916255187,0.1138696983317628,0.045815310687221875
MLP 1-layer,0.16587693973867093,0.15709556052373558,0.17667661240328328,0.08924204980482388,0.10782484206480433
MLP 2-layer,0.16635730581572505,0.16451866449828728,0.1489277314319488,0.09099348413961664,0.10415769947472278
Block-sparse MLP,0.2172629049878664,0.24623036202602364,0.2101958717590968,0.1373624120207805,0.06823881306998239
LSTM,0.18516580712584782,0.2699654715228721,0.39130947220207524,0.2028936329867615,0.1575106561797222
FT-Transformer,0.1743527373543836,0.2611558097461488,0.3214103381258398,0.10844267561804256,0.1242223199745789
