scenario,repeat,n_train,slope_comparator_train_error,volatility_comparator_train_error,ar_comparator_train_error,slope_comparator_test_error,volatility_comparator_test_error,ar_comparator_test_error,oracle_comparator,oracle_comparator_test_error,selector_comparator,selector_train_error,selector_test_error,selector_oracle_excess,common_head_train_error,common_head_test_error,common_head_generalization_gap,common_head_abs_generalization_gap,common_head_oracle_excess,common_head_train_auc,common_head_test_auc,ar_phi_alt,mixed_ar_phi,mixed_family_probability
slope,14,1000,0.027,0.033,0.383,0.0195,0.03025,0.3785,slope,0.0195,slope,0.027,0.0195,0.0,0.013,0.01275,-0.00025,0.00025,-0.00675,0.997536,0.99792875,1.1,1.1,0.3333333333333333
slope,15,200,0.015,0.03,0.41,0.02425,0.0305,0.37925,slope,0.02425,slope,0.015,0.02425,0.0,0.0,0.01275,0.01275,0.01275,-0.0115,1.0,0.993927625,1.1,1.1,0.3333333333333333
slope,15,500,0.022,0.034,0.412,0.02425,0.0305,0.37925,slope,0.02425,slope,0.022,0.02425,0.0,0.006,0.0135,0.0075,0.0075,-0.01075,0.9992,0.99389575,1.1,1.1,0.3333333333333333
slope,15,1000,0.022,0.034,0.392,0.02425,0.0305,0.37925,slope,0.02425,slope,0.022,0.02425,0.0,0.011,0.01275,0.0017499999999999,0.0017499999999999,-0.0115,0.998172,0.9967505,1.1,1.1,0.3333333333333333
slope,16,200,0.015,0.03,0.385,0.02425,0.02825,0.38425,slope,0.02425,slope,0.015,0.02425,0.0,0.015,0.0135,-0.0014999999999999,0.0014999999999999,-0.01075,0.9977,0.998779,1.1,1.1,0.3333333333333333
slope,16,500,0.024,0.03,0.396,0.02425,0.02825,0.38425,slope,0.02425,slope,0.024,0.02425,0.0,0.012,0.01,-0.002,0.002,-0.01425,0.996144,0.9990515,1.1,1.1,0.3333333333333333
slope,16,1000,0.023,0.032,0.387,0.02425,0.02825,0.38425,slope,0.02425,slope,0.023,0.02425,0.0,0.011,0.01025,-0.0007499999999999,0.0007499999999999,-0.014,0.997424,0.9990325,1.1,1.1,0.3333333333333333
slope,17,200,0.025,0.005,0.365,0.02525,0.03275,0.3765,slope,0.02525,volatility,0.005,0.03275,0.0075,0.0,0.02225,0.02225,0.02225,-0.003,1.0,0.9967985,1.1,1.1,0.3333333333333333
slope,17,500,0.022,0.008,0.366,0.02525,0.03275,0.3765,slope,0.02525,volatility,0.008,0.03275,0.0075,0.008,0.012,0.004,0.004,-0.01325,0.999216,0.99766275,1.1,1.1,0.3333333333333333
slope,17,1000,0.021,0.023,0.38,0.02525,0.03275,0.3765,slope,0.02525,slope,0.021,0.02525,0.0,0.007,0.01275,0.0057499999999999,0.0057499999999999,-0.0125,0.999092,0.9977305,1.1,1.1,0.3333333333333333
slope,18,200,0.02,0.025,0.41,0.02225,0.03075,0.3805,slope,0.02225,slope,0.02,0.02225,0.0,0.0,0.01625,0.01625,0.01625,-0.0059999999999999,1.0,0.997276875,1.1,1.1,0.3333333333333333
slope,18,500,0.03,0.03,0.402,0.02225,0.03075,0.3805,slope,0.02225,slope,0.03,0.02225,0.0,0.01,0.01475,0.0047499999999999,0.0047499999999999,-0.0075,0.999376,0.99753225,1.1,1.1,0.3333333333333333
